logz logzerr logvol nlive logl logwt insert_order
-4.264723071199198898e+02 1.801855426367016344e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -4.198548148244548202e+02 -4.258775291111461456e+02 1.655000000000000027e+00
-4.254381876600404553e+02 2.148275618473909354e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -4.183960991220544656e+02 -4.244213134087457888e+02 1.129999999999999893e+00
-4.241125619875558073e+02 1.309947544311198531e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -4.129869297694984311e+02 -4.190146440561897521e+02 1.114999999999999991e+00
-4.190085531896013435e+02 3.539800117235206045e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -4.081045161277286297e+02 -4.141347304144199484e+02 9.699999999999999734e-01
-4.141271153946864274e+02 3.761314748149427789e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -4.071120073005326390e+02 -4.131447215872239553e+02 9.350000000000000533e-01
-4.128266943100712751e+02 3.918757301716324193e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -4.045737076779145127e+02 -4.106089219646058268e+02 1.205000000000000071e+00
-4.105055973300742380e+02 2.357178300405662341e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -4.044042552105812547e+02 -4.104419694972725665e+02 3.400000000000000244e-01
-4.097801302558185057e+02 2.366281862904533018e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -4.038470917824097910e+02 -4.098873060691011005e+02 4.699999999999999734e-01
-4.091391358367093858e+02 9.078568183165012240e-01 -5.000000000000000971e-02 4.000000000000000000e+02 -4.037019994681774619e+02 -4.097447137548687692e+02 9.849999999999999867e-01
-4.087036208291772255e+02 6.629625543499271245e-01 -5.250000000000001193e-02 4.000000000000000000e+02 -4.033707947684587793e+02 -4.094160090551500844e+02 9.499999999999999556e-01
-4.083045283559223435e+02 4.788288632402208922e-01 -5.500000000000001416e-02 4.000000000000000000e+02 -4.030529404019977733e+02 -4.091006546886890760e+02 4.949999999999999956e-01
-4.079322251486045161e+02 5.431858395013133833e-01 -5.750000000000001638e-02 4.000000000000000000e+02 -4.028446752154024466e+02 -4.088948895020937471e+02 2.800000000000000266e-01
-4.076087845404287009e+02 4.332157111754453283e-01 -6.000000000000001860e-02 4.000000000000000000e+02 -4.020759185851879920e+02 -4.081286328718792902e+02 7.000000000000000666e-02
-4.071421548936171462e+02 6.605213142862089715e-01 -6.250000000000001388e-02 4.000000000000000000e+02 -4.010414679400160480e+02 -4.070966822267073439e+02 1.354999999999999982e+00
-4.064260129314387200e+02 5.330573923532291314e-01 -6.500000000000001610e-02 4.000000000000000000e+02 -4.004723765337878945e+02 -4.065300908204791881e+02 1.649999999999999911e+00
-4.057835512802133167e+02 7.542717235037691426e-01 -6.750000000000001832e-02 4.000000000000000000e+02 -4.004383360962069673e+02 -4.064985503828982587e+02 1.534999999999999920e+00
-4.053853172193877867e+02 7.819484690398139648e-01 -7.000000000000002054e-02 4.000000000000000000e+02 -4.002731110530735918e+02 -4.063358253397648809e+02 5.200000000000000178e-01
-4.050585024936380023e+02 6.957174545142390532e-01 -7.250000000000002276e-02 4.000000000000000000e+02 -4.000955350978146043e+02 -4.061607493845058912e+02 1.395000000000000018e+00
-4.047717278340178382e+02 6.971320264317714122e-01 -7.500000000000002498e-02 4.000000000000000000e+02 -3.997955845753183439e+02 -4.058632988620096285e+02 1.520000000000000018e+00
-4.044822807928804309e+02 4.795088242999699935e-01 -7.750000000000002720e-02 4.000000000000000000e+02 -3.996976870075170609e+02 -4.057679012942084000e+02 1.179999999999999938e+00
-4.042381753062726375e+02 5.386573494503346105e-01 -8.000000000000002942e-02 4.000000000000000000e+02 -3.996227474640604100e+02 -4.056954617507517469e+02 1.550000000000000044e+00
-4.040288326981391265e+02 5.675566405074407017e-01 -8.250000000000003164e-02 4.000000000000000000e+02 -3.995348430690382884e+02 -4.056100573557296229e+02 1.549999999999999989e-01
-4.038417533081108672e+02 6.031201201525301370e-01 -8.500000000000003386e-02 4.000000000000000000e+02 -3.994680994599310679e+02 -4.055458137466224002e+02 1.600000000000000089e+00
-4.036745933997833617e+02 6.439934841328945891e-01 -8.750000000000003608e-02 4.000000000000000000e+02 -3.993134780712878751e+02 -4.053936923579792051e+02 1.354999999999999982e+00
-4.035097337801375375e+02 5.212525957232655438e-01 -9.000000000000003830e-02 4.000000000000000000e+02 -3.992767844247555900e+02 -4.053594987114469177e+02 1.274999999999999911e+00
-4.033636664263749481e+02 5.161105922080058139e-01 -9.250000000000004052e-02 4.000000000000000000e+02 -3.988625320067284292e+02 -4.049477462934197547e+02 1.885000000000000009e+00
-4.031770736217602007e+02 4.432552235724785406e-01 -9.500000000000004274e-02 4.000000000000000000e+02 -3.985586759135585453e+02 -4.046463902002498685e+02 1.685000000000000053e+00
-4.029699922392555322e+02 4.476736780410193184e-01 -9.750000000000004496e-02 4.000000000000000000e+02 -3.985046431810610557e+02 -4.045948574677523766e+02 1.459999999999999964e+00
-4.027902254304905796e+02 4.188029110127732269e-01 -1.000000000000000472e-01 4.000000000000000000e+02 -3.984876077757684243e+02 -4.045803220624597429e+02 1.705000000000000071e+00
-4.026358370331290075e+02 4.451059820693397673e-01 -1.025000000000000494e-01 4.000000000000000000e+02 -3.984484589379642898e+02 -4.045436732246556062e+02 1.784999999999999920e+00
-4.024974663615118402e+02 5.118462425735398336e-01 -1.050000000000000516e-01 4.000000000000000000e+02 -3.984003570061449295e+02 -4.044980712928362436e+02 8.750000000000000000e-01
-4.023706104408425404e+02 5.337972281996682389e-01 -1.075000000000000538e-01 4.000000000000000000e+02 -3.983142932353587753e+02 -4.044145075220500871e+02 1.820000000000000062e+00
-4.022488150525251172e+02 5.562026076094286342e-01 -1.100000000000000561e-01 4.000000000000000000e+02 -3.982726554875231955e+02 -4.043753697742145050e+02 4.799999999999999822e-01
