weight logl alpha_gluon beta_gluon alpha_up beta_up epsilon_up gamma_up alpha_down beta_down epsilon_down gamma_down norm_sigma alpha_sigma beta_sigma
6.635868750404588357e-57 -4.028446752154024466e+02 7.116827699910688310e-02 8.099537751673024921e-01 6.344103214897542919e-01 9.408819609604138767e-01 4.028232615708962072e-01 3.253881028465784864e-01 4.873511283223748158e-01 1.267523093235192189e-01 6.364656959515225809e-01 7.329588565894826768e-01 6.800540027946012644e-01 5.723382476067833124e-01 7.130940731647954500e-01
1.427837598533620898e-56 -4.020759185851879920e+02 5.005098999270607418e-02 2.816992081954067251e-01 5.586898910822760689e-01 3.621273090004142325e-01 6.083386973486093474e-03 7.780750317269499172e-01 6.428424113089835634e-01 4.615692712527065256e-01 9.037429727251810041e-01 5.426797791582691488e-01 8.349659869310953608e-01 2.171805518708281868e-01 6.916362602525533143e-01
4.007276269938320676e-56 -4.010414679400160480e+02 6.253566166814672478e-02 5.261792719287855524e-01 6.253327621143933701e-01 2.101447501003744778e-01 1.548834877647327080e-01 2.364847261100714304e-01 3.220339186347099814e-01 6.321233538214606762e-01 3.242889431509072828e-01 1.789680522608987356e-01 2.852682715581214001e-01 6.926437878350252264e-01 3.919084017893039729e-01
7.061822638874644285e-56 -4.004723765337878945e+02 9.599828055560299944e-02 9.266390233234186313e-01 7.173716163053382999e-01 1.727880318948865623e-01 4.485037432747377428e-01 7.565970589046329131e-01 9.075733367053958611e-01 9.886372387420906405e-01 2.976838012519422705e-01 4.031462040611507591e-01 2.800218402402813167e-01 7.405393029182643083e-01 9.418523007436419014e-02
7.288105384923764163e-56 -4.004383360962069673e+02 9.982759872333399898e-01 9.321772875172096295e-01 1.974316363859417445e-01 1.936557899225480606e-01 1.155947976867306437e-01 3.129480608409973552e-01 2.804669476165442266e-01 6.718778831325317169e-01 5.974092790287968135e-01 1.816589633875125287e-01 9.773102948185716787e-01 7.277086609530964978e-01 8.395202373301812182e-01
8.576009079578374262e-56 -4.002731110530735918e+02 9.099988763568965799e-01 9.692625556637737283e-01 9.870890978296982254e-01 9.524534918492523206e-01 2.155363449737103254e-01 1.341020283997561569e-01 9.546369026569209160e-01 3.769460708035017316e-01 4.942749060110194215e-01 5.497071177241985573e-01 2.441830310012299554e-01 5.348787588138141924e-01 7.129960608511693998e-01
1.021691436858694067e-55 -4.000955350978146043e+02 9.325910830222775560e-01 9.378966822705744333e-01 9.528117069025334729e-01 1.869326610119352861e-01 7.294301139908841991e-01 7.434444156387245428e-01 2.484081680150544980e-01 9.058461806819966267e-01 2.056607576905622459e-01 2.968180179752459846e-01 3.712939595539600512e-01 1.246945847796137041e-01 9.440069006235085602e-01
1.375627578625231057e-55 -3.997955845753183439e+02 8.616709542797529320e-01 9.546705178215495469e-01 8.013065350707426759e-01 2.937704125992328663e-01 7.745347811925751280e-02 4.966839147439054969e-01 1.980894233838370599e-01 3.254439968158588936e-01 2.484120793818984652e-01 7.517902667702597297e-01 1.317780794819980450e-01 3.659575944457862384e-01 6.170606790544609366e-01
1.513322576938223726e-55 -3.996976870075170609e+02 9.180550256453664515e-01 9.113560700385061608e-01 3.028019704283941849e-01 2.208632676444588494e-02 3.152455737729142893e-01 2.046518392711962342e-01 4.837069482436698875e-01 8.008986749024125107e-01 1.947294515137487636e-01 5.042875061367535494e-01 8.890420247114226848e-01 2.692611996588893941e-01 1.982627212488066171e-01
1.627015181330532046e-55 -3.996227474640604100e+02 1.042514020340089553e-01 9.271564301788627338e-01 1.634632824552593178e-01 9.612652444768041704e-01 3.833426439460345669e-01 7.718650359523016036e-01 1.277883843072181724e-01 4.908561132902329316e-01 4.809032057703872542e-01 1.343271944502294479e-01 7.225988065880318834e-01 4.357006126332634288e-01 7.027260410741342778e-02
