alpha_gluon beta_gluon alpha_up beta_up epsilon_up gamma_up alpha_down beta_down epsilon_down gamma_down norm_sigma alpha_sigma beta_sigma
1.211706831786999672e+00 8.483259522669607533e-02 2.751224736127909853e+00 2.076445824970754916e+00 1.985643554667348765e+00 1.337523020379214556e+00 1.168170434207371766e+00 1.089277667454402465e+00 1.424618132110702984e+00 8.147211119494345288e-01 3.549089607881267261e-01 3.282385134274985461e+00 1.400489872907452860e+00
1.428123410466033194e+00 1.437598315345376687e-01 1.057948591843921760e+00 2.025699477503708490e+00 1.303149889486821866e+00 1.053489866603232405e+00 1.469116226964212180e+00 2.876596236036797816e+00 3.227399927164237292e-01 2.595224698093221871e+00 3.264165144249523420e-01 3.005799054753872213e+00 1.653515446533565525e+00
1.366711605741611990e+00 1.457761683030592281e-01 9.920504350317667086e-01 2.293404615579201611e+00 1.035728086534501102e+00 4.021857483530457134e-01 2.437990497811382884e+00 6.947317737784912683e-01 1.494184179076463170e+00 5.268436013460715550e-01 2.226843679829213496e+00 2.440444387470429355e+00 3.391330694613069241e+00
1.332836103746287471e+00 2.038912163322369187e-01 2.155241936593144114e+00 1.230104627568313208e-01 4.716089909412271020e-01 1.052659552944114729e+00 2.839192823551175415e+00 2.540356175748329726e+00 1.179219103117493894e+00 1.864477931775815778e+00 1.578395657073530467e+00 7.898519764845067792e-01 1.930516675953251493e+00
1.375714417747867291e+00 6.819610016602130342e-02 1.173016582169071897e+00 2.717093055783984301e+00 1.615004614338865663e+00 2.782575203811133324e+00 2.778226981449748445e-01 5.845291555080704693e-02 8.032898161381648583e-01 8.259577374914034431e-01 9.424346214099360575e-01 1.410847977508562279e+00 2.780439011724802345e+00
1.115176858287885153e+00 1.837420561836696775e-01 1.816897083167739124e+00 1.336060836057165746e+00 7.050724079151873269e-01 3.183014416660900014e+00 3.232195619491545102e+00 2.903062942465024054e+00 2.387916082930924055e+00 2.160010917182668244e+00 8.199454072868957999e-01 2.943722383825250422e+00 2.023292965035794921e+00
1.519528120126670823e+00 1.225631801596417242e-01 8.079118925433061982e-01 6.534791540379522035e-01 3.643077381220882760e-02 2.525594555613982717e+00 3.106456044827435203e+00 1.291663143807476877e-01 3.219073347287062958e+00 9.798917152480393078e-01 2.751667614161628084e+00 2.100194060549481545e+00 2.381409103691508822e+00
1.455358732623804885e+00 4.898212560646686420e-02 1.167351708295016222e+00 2.881484768522359907e+00 1.620281391647594438e+00 4.061401677959785572e-01 1.300946081552857514e+00 1.238131684709759206e+00 2.327614011080661793e+00 7.365489461520732251e-01 3.013715346336313328e+00 3.313085963065180106e+00 3.137460598545313228e+00
1.564291218432790398e+00 3.420047878976928413e-02 9.203864598538781250e-01 2.923562012616907513e+00 9.929158708310908965e-01 1.511488723155452796e+00 2.183478353798785410e+00 1.897414962642717917e+00 2.834372504456311948e+00 1.853636864826256225e+00 2.991715017490872430e-01 3.073601713831373150e-01 2.414769256625151961e+00
1.607631158339665634e+00 1.059833549487603117e-02 2.431233429509342514e+00 6.969864911545169406e-01 1.448296129617712813e+00 2.780378014799196329e+00 3.161394931802782304e-01 2.182454024598253106e+00 1.723618244531793353e+00 2.781921263905192454e+00 3.029708630892189891e+00 2.514882723563394151e+00 1.474351660368059758e+00
