weight logl alpha_gluon beta_gluon alpha_up beta_up epsilon_up gamma_up alpha_down beta_down epsilon_down gamma_down norm_sigma alpha_sigma beta_sigma
3.436531288852715945e-55 -3.988625320067284292e+02 3.319934666327527317e+00 2.776255008549994407e+00 1.507846638040917231e-01 1.393431709168779342e+00 1.016145378385846232e-01 7.068617116650257604e-01 2.144716431771669374e+00 2.234813982174069569e+00 8.476744502981761187e-01 3.376621541614653221e+00 1.051960987715409857e-01 1.212100348939929351e+00 8.409728329260268698e-01
4.645126983506001891e-55 -3.985586759135585453e+02 2.769838665648931109e+00 3.025277666098556306e+00 1.082416639236394307e+00 2.235694794395551632e+00 1.757089418274307313e+00 3.223269990461504086e+00 1.798486421176259675e+00 1.345196052899061634e+00 1.123601090523858481e+00 2.777289267992730792e+00 2.829163594696047390e+00 3.180525767004708015e+00 1.291243963870889466e+00
4.890778249574712467e-55 -3.985046431810610557e+02 2.823403230922679086e+00 2.980722340205347987e+00 2.098188154506887670e+00 1.327485524235716197e+00 9.847744888372497174e-01 2.292085016017160637e+00 4.269517379862145523e-01 4.711783180938001192e-01 9.465027247958687218e-01 1.674857285865660295e+00 6.613881462421082880e-01 8.934810183306315379e-01 1.436459853544681975e+00
4.962386862965060154e-55 -3.984876077757684243e+02 2.946931553857407238e+00 2.903721417123001913e+00 1.972265100040116570e+00 2.109491138152994161e+00 1.477114581587523068e+00 3.085778817158306708e+00 4.006348670311588034e-01 2.511284540952784194e+00 2.437130339424446457e-01 9.598540372579421609e-01 2.185667031475816202e+00 8.866399272594176484e-01 9.885537235871166839e-01
5.147626245235407424e-55 -3.984484589379642898e+02 3.138654119345780202e+00 2.786596006320047003e+00 2.146645582782958250e+00 4.285645883058027961e-01 5.301686547715267483e-01 1.634527849565345026e+00 2.035008310176760649e+00 5.153237169546086571e-01 8.477862340425337262e-01 7.501036806246161870e-01 3.546080821700070551e-02 1.453679706456904475e+00 2.088981228032252613e+00
5.387802578858532479e-55 -3.984003570061449295e+02 2.919510211467608141e+00 2.901181816712652406e+00 9.303000743081517587e-01 3.618534894820958359e-01 9.467973597491626814e-01 5.089156911214873791e-01 2.131400900317356406e+00 2.784017624549543601e+00 2.146574915698364006e+00 2.697731005894268730e+00 3.347165380065958429e-01 1.920030014917854855e+00 2.761062815476207355e+00
5.857374043831659123e-55 -3.983142932353587753e+02 2.693495995967418732e+00 3.018708948296283445e+00 2.996446066697719957e+00 1.567550938057456156e+00 2.139259712618466480e+00 2.558278744129491411e+00 1.898100215343957675e+00 1.765097894975679926e+00 3.030024491484414106e+00 3.308475152135053943e+00 2.862883381478160238e+00 1.848651521599224301e+00 2.347122346549223693e+00
6.091163629295200211e-55 -3.982726554875231955e+02 2.778738283343501703e+00 2.957906051713279805e+00 2.643898431064914956e+00 1.202300200047026868e+00 2.786846023746741619e+00 6.287105439361831971e-01 2.727394645469578993e+00 2.009417271015881301e+00 9.811793207092677216e-01 2.278314421196366180e+00 3.084323329469730979e+00 7.647901733283329895e-01 4.481791173707392467e-02
6.287597490107625163e-55 -3.982384155824363461e+02 2.346771467675392131e+00 3.224022127730410858e+00 2.837066872461401879e+00 8.601709430425549807e-02 1.285996035934574788e+00 2.081679410662350627e+00 5.575295018678525644e-02 2.797732506909777150e+00 3.566015391640119936e-01 2.947407567105493786e+00 1.053900571034282141e+00 1.404795155157350983e+00 1.847305273301529105e-01
7.253717957060507604e-55 -3.980929804640448992e+02 2.799221067988132639e+00 2.908737183557937644e+00 2.071729350544966319e+00 1.710115506254373807e+00 1.079285687443682029e+00 8.589302547548044453e-01 2.016244446072109897e-01 3.320217933555897893e+00 1.559422170046536937e+00 8.419086625439574645e-01 3.271054982422074264e+00 2.663429524249823377e+00 1.167506481642817784e+00
