,alpha_gluon,beta_gluon,alpha_up,beta_up,epsilon_up,gamma_up,alpha_down,beta_down,epsilon_down,gamma_down,norm_sigma,alpha_sigma,beta_sigma
80,1.28323e+00,1.32198e-01,1.73403e+00,5.18320e-01,1.18584e+00,2.36704e+00,1.73627e+00,1.44124e+00,1.12776e+00,2.35343e-01,3.00885e+00,2.09290e+00,2.55010e+00
81,1.27434e+00,1.45358e-01,3.22448e+00,2.08444e+00,4.71544e-01,1.60693e+00,1.39963e+00,1.21242e+00,2.16065e+00,1.44915e+00,2.05739e-01,3.16923e+00,2.77773e+00
82,1.29402e+00,1.38384e-01,3.27617e+00,6.80177e-01,1.69026e+00,3.28541e+00,1.42959e+00,3.14777e+00,2.01245e+00,2.97273e+00,2.61594e+00,1.35815e+00,1.97119e-01
83,1.55703e+00,1.02594e-01,8.74391e-01,2.71272e+00,1.26382e+00,6.56770e-01,1.15173e+00,1.64433e+00,6.01743e-01,1.35448e+00,3.18617e+00,2.35784e+00,2.55794e+00
84,1.26994e+00,1.86587e-01,2.97165e-01,1.52901e+00,2.50706e+00,2.27447e+00,1.58901e+00,2.20397e+00,6.75942e-02,2.71985e-01,1.41113e+00,1.73242e+00,1.48603e+00
85,1.28556e+00,1.32631e-01,1.04293e-01,3.12727e+00,2.18820e+00,1.98557e-01,3.06939e+00,2.92541e+00,2.23374e+00,1.54076e+00,1.42550e+00,1.95196e+00,1.17992e+00
86,1.24443e+00,1.58499e-01,2.46944e+00,2.85660e+00,1.32185e+00,3.22483e-01,1.38107e+00,2.39490e-02,1.17134e+00,2.17883e+00,3.20527e-01,3.00440e+00,1.98147e+00
87,1.34835e+00,1.17317e-01,1.79893e+00,2.61343e+00,3.22921e+00,9.30368e-01,8.18555e-01,2.04564e+00,2.65047e+00,2.30425e+00,1.61608e+00,1.51473e+00,6.08902e-02
88,1.19775e+00,1.09155e-01,2.38622e+00,1.72658e-01,1.63081e+00,1.98508e+00,1.92279e+00,2.47871e-01,1.00889e+00,3.03690e+00,1.93840e+00,1.14693e+00,3.34685e+00
89,1.42084e+00,1.21171e-01,2.30172e+00,1.19451e+00,8.54432e-01,2.53154e+00,2.26608e+00,2.12929e+00,2.34522e+00,1.72453e+00,9.52321e-01,3.18427e+00,1.11963e+00
90,1.44888e+00,1.10385e-01,8.69848e-02,2.54620e+00,1.85481e+00,3.97240e-01,1.73495e+00,1.62146e+00,2.45019e+00,2.84866e+00,1.50741e+00,8.63439e-01,6.26220e-01
91,1.28079e+00,1.25942e-01,1.78128e+00,9.86895e-01,2.03695e+00,3.24779e+00,6.31605e-02,1.38090e+00,9.03330e-01,4.20032e-01,5.56847e-01,4.43122e-01,1.15541e-01
92,1.55154e+00,1.29525e-01,3.15305e+00,4.01820e-01,3.13391e+00,2.81854e-01,1.59545e+00,1.04561e+00,2.21614e+00,1.82546e+00,2.30463e+00,2.04735e+00,3.00781e+00
93,1.19556e+00,1.39455e-01,2.09003e+00,2.00345e+00,6.40358e-03,1.36308e+00,7.80859e-01,3.39916e+00,2.91962e+00,2.98936e-01,5.00090e-01,1.33416e+00,2.53416e+00
94,1.31564e+00,1.13097e-01,1.91261e+00,1.84253e+00,2.17895e+00,1.86996e+00,4.75355e-01,3.10244e+00,3.21618e+00,1.93813e+00,2.24903e+00,6.04134e-01,8.41494e-01
95,1.09591e+00,1.98557e-01,2.52303e+00,2.36051e+00,9.16870e-01,1.00061e-01,6.51428e-01,1.54529e+00,3.43699e-01,3.26096e+00,1.62729e+00,1.05878e+00,9.37582e-01
96,1.41937e+00,1.07923e-01,2.83533e+00,2.76904e+00,2.03915e+00,1.54464e+00,2.12456e+00,1.45953e+00,4.22108e-01,6.66406e-01,1.33686e+00,2.53763e+00,1.27193e+00
97,1.48269e+00,5.66257e-02,7.82326e-01,3.12783e+00,3.07671e+00,2.51683e+00,1.96654e+00,1.63251e+00,2.62133e+00,1.09012e+00,6.99686e-01,3.25586e+00,8.31190e-02
